0,1,2,3,4,5,6,7,8,9
0.009398313,-0.0036653145,0.005486139,-0.0016072768,0.007908046,0.005442633,0.0021076694,0.0009529516,0.0040608305,0.006695432
-0.008230626,-0.010417177,0.004853484,-0.004167613,0.0034854736,0.0023729552,-0.024144884,-0.0012445521,-0.013326372,0.0037367237
-0.0071519404,0.005293372,0.0048628724,-0.003979346,-0.004796956,-0.0022639388,0.013631925,0.0041445345,-0.0017439382,-0.015186193
0.013050162,0.0051531564,-0.017728137,-0.0067665186,-0.0055375984,0.0065966877,-0.0019394191,-0.010402232,0.004631976,0.0066624964
-0.008967472,0.011493824,-0.029958628,-0.0100836195,-0.021776296,-0.014877784,0.028754156,-0.02209826,0.00188222,0.010200703
-0.021694897,0.01053051,-0.0406252,0.017317412,0.004009837,-0.015613392,0.016681382,0.0007202225,0.0034364252,0.003497982
-0.004259736,0.08517006,-0.06870283,0.027037308,-0.012919758,0.009541232,-0.02989563,4.777849e-05,0.030010313,0.013354571
-0.012511691,0.13739018,-0.080564015,0.024091246,-0.023528624,-0.017206127,0.0024594131,-0.00051960157,0.0063330093,-0.01411471
0.022340326,0.1828091,-0.09090667,-0.06293555,-0.110320024,-0.037948143,0.08885577,0.009961417,-0.042026874,-0.008185677
0.004502449,0.20522222,-0.059262365,-0.0067866966,-0.19202656,-0.02234021,0.16624004,-0.02471528,-0.068805054,-0.03170521
-0.035194635,0.28528854,0.21144755,0.15288763,-0.26941887,-0.04257313,-0.078812115,-0.01279584,-0.13725619,-0.04528818
0.047374126,0.27068123,0.2226168,0.16883023,-0.04040273,-0.08236713,-0.4055526,-0.038112916,-0.16794276,-0.03665144
-0.09808667,0.1958155,-0.16250668,0.0402828,0.22947355,-0.109265424,0.0827245,-0.045253497,-0.12955198,-0.043057654
-0.18986349,0.22376664,-0.09261904,-0.16026497,0.38317597,-0.11801065,-0.057254273,-0.03847149,0.08568014,-0.031897213
-0.17697611,0.24464166,-0.08656531,-0.22114943,0.35133943,-0.1182334,-0.12741973,-0.04973481,0.2327894,-0.029117523
-0.18491864,0.17254394,-0.17748019,-0.04690548,0.28217596,-0.122857,0.060319256,-0.035192043,0.059218153,-0.01628741
