0,1,2,3,4,5,6,7,8,9
-0.14652729,-0.19470046,-0.011875566,0.18098709,0.2140425,-0.011509974,0.17519398,-0.29671237,-0.025096405,0.09097152
0.047275536,-0.009770333,0.032092538,0.040700573,-0.08906146,0.032611493,0.031113474,-0.027313666,-0.029217055,-0.032997556
0.0042503336,0.15532859,-0.046934996,-0.10287189,-0.13390234,0.116189316,0.09353901,-0.1837286,-0.11756272,0.20653698
0.037578866,-0.030966,0.21140088,0.029633662,0.025289644,-0.10261279,0.08900847,-0.041921727,-0.1416761,-0.062365063
-0.17616299,0.10433509,0.049781587,0.014918503,0.24347357,0.04197107,0.0037669241,-0.099628575,-0.10475034,-0.1172563
0.0020931333,-0.004589,0.0019215052,-0.013915691,-0.038805485,0.034045726,0.014379215,-0.0026634994,-0.002009618,-0.02427212
0.046871856,-0.15693238,0.053175043,0.201796,0.004563331,0.015161544,-0.010184448,-0.16320483,0.12161249,-0.1533748
-0.03776018,0.071129344,0.119350456,0.32867876,0.029221743,0.0022013234,-0.23914182,-0.08688247,-0.11282755,-0.055594616
-0.11801012,-0.11679233,0.061049484,-0.0025992908,-0.120848484,0.27992913,-0.10131943,0.08524903,0.00091106386,0.05049853
-0.06718485,0.018797226,-0.0028558034,0.063492864,0.04393053,-0.25538754,-0.058562223,0.14257841,0.07191728,0.06787862
-0.1600176,-0.06474851,-0.0029091944,-0.0027149527,-0.0712356,-0.05201851,0.056453165,0.32724065,-0.019070536,-0.060896937
-0.028699225,-0.072734274,0.0690555,-0.006581706,0.12863986,-0.103129126,0.14855215,-0.111121714,0.17285149,-0.15531388
0.32659677,0.016724184,-0.15273042,-0.27856284,-0.08048977,-0.01971158,0.25450316,-0.012046953,-0.05592276,-0.008715037
0.020709543,0.01641534,0.065485574,0.2756143,0.080193296,-0.24012122,0.07702468,-0.105054334,-0.008481943,-0.20360813
-0.18474448,-0.0921407,0.1690583,0.13178582,0.0031515723,-0.29322928,-0.04849843,0.16822623,-0.024282377,0.18457581
0.056841712,-0.19391397,-0.090502985,-0.02434856,-0.02324311,-0.049686387,-0.27604082,0.24342328,0.3836386,-0.018479578
-0.013774744,0.03379712,-0.034418758,-0.010525548,-0.061349943,0.17802186,0.014291045,-0.09317019,0.04861423,-0.037206862
0.07163187,-0.01130048,0.0018008424,0.021319248,-0.085616864,0.21833,-0.03885401,-0.13002117,0.011406352,-0.051964954
-0.024343982,-0.18563959,0.060917612,0.18758097,-0.058670364,-0.061875872,0.07729295,-0.16668227,0.084387325,0.10735019
-0.01907399,0.082338445,0.03712418,-0.17774709,0.13997407,-0.069126084,-0.024485812,-0.0638201,0.082682826,0.07023109
